sample_id,run_id,barcode,fastq_dir,collection_date,sample_type
MS1451,run003,barcode01,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode01,2025-11-01,clinical
MS1467,run003,barcode02,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode02,2025-11-01,clinical
MS1481,run003,barcode03,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode03,2025-11-01,environmental
MS1545,run003,barcode04,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode04,2025-11-01,control
MS1559,run003,barcode05,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode05,2025-11-01,clinical
MS1572,run003,barcode06,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode06,2025-11-01,clinical
MS1585,run003,barcode07,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode07,2025-11-01,environmental
MS1601,run003,barcode08,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode08,2025-11-01,control
MS1453,run003,barcode09,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode09,2025-11-01,clinical
MS1468,run003,barcode10,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode10,2025-11-01,clinical
MS1482,run003,barcode11,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode11,2025-11-01,environmental
MS1546,run003,barcode12,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode12,2025-11-01,control
MS1560,run003,barcode13,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode13,2025-11-01,clinical
MS1573,run003,barcode14,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode14,2025-11-01,clinical
MS1586,run003,barcode15,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode15,2025-11-01,environmental
MS1602,run003,barcode16,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode16,2025-11-01,control
MS1454,run003,barcode17,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode17,2025-11-01,clinical
MS1469,run003,barcode18,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode18,2025-11-01,clinical
MS1483,run003,barcode19,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode19,2025-11-01,environmental
MS1547,run003,barcode20,/Users/lz245/ont-mlst-pipeline/data/raw/test/fastq_pass/barcode20,2025-11-01,control
